Removed Node,Global Efficiency,Modularity,Removed Node,Global Efficiency,Modularity
Bank and Monument,0.19250457694682765,0.7686870265089242,Bank and Monument,0.19250457694682765,0.7686870265089242
King's Cross St. Pancras,0.1779756357915677,0.7877553484404975,King's Cross St. Pancras,0.1779756357915677,0.7877553484404975
Stratford,0.15817741953253597,0.7981745031226528,Canada Water,0.16363629816624015,0.7904041747400244
Baker Street,0.14839165033490853,0.8129087083523984,West Hampstead,0.1180862726040769,0.7916487622600064
Oxford Circus,0.14510061997533655,0.8350058558470529,Earl's Court,0.11455271241750008,0.8010130812819554
Euston,0.13303673092482757,0.8364893000933985,Oxford Circus,0.1119334623327644,0.8224122719957099
Earl's Court,0.1290830122356904,0.8489095979162103,Shepherd's Bush,0.10002610247693623,0.8257386174976632
Shadwell,0.1253624949320153,0.8507638787527438,Baker Street,0.09256993352556994,0.8418412612048343
Waterloo,0.12172690128432002,0.8751439128780518,Acton Town,0.08062822125760273,0.8423093245344693
South Kensington,0.1203897503661103,0.8795139712568926,Stratford,0.06805338922278029,0.859556271099893
Gloucester Road,0.11969142396087296,0.8794821805491767,Whitechapel,0.06582041421980979,0.8617572979353273
Highbury & Islington,0.11646566298903469,0.8798895533166511,West Ham,0.05706600861179612,0.8638334180876658
Victoria,0.11250073143457448,0.8936980329185201,Euston,0.05156995136704215,0.8668249968973604
Wembley Park,0.10724746998253576,0.8947166503716979,Paddington,0.04653678305502427,0.8660254938615111
Hammersmith,0.10474356915525289,0.8943085922975712,Seven Sisters,0.04258249052050057,0.8681275154923459
West Hampstead,0.0969115058278422,0.8945094882890906,Blackhorse Road,0.03802279077595404,0.8678187903607227
Turnham Green,0.09449331747003704,0.8958522052183547,Harrow-on-the-Hill,0.0357595252945947,0.8684265360035369
Liverpool Street,0.0911086780110063,0.898551840217521,Willesden Junction,0.033739313380066235,0.8694959886874091
Limehouse,0.09048522936033121,0.89861001369093,Waterloo,0.032556272163171786,0.8990775480278751
Canonbury,0.08863447444806431,0.8984008434423714,Stockwell,0.0299674730402013,0.9096804627749309
Whitechapel,0.08497213823293036,0.8979352163003526,Poplar,0.02897327638433154,0.910448126892904
Westferry,0.08429690333462496,0.8983174655557729,Canning Town,0.02731450941931582,0.9117951520396302
Mile End,0.08210226459867022,0.8985440215580341,Highbury & Islington,0.02593725127658175,0.9116845643746704
Camden Town,0.08154842492511538,0.8997104532199237,Green Park,0.02507113070335027,0.9434472213230651
Finsbury Park,0.07723179712727721,0.901085665322959,Embankment,0.02381765038703077,0.9442264583784288
Harrow-on-the-Hill,0.07317420974551143,0.8992068785831241,Romford,0.022969822707485984,0.9444328811886471
Sloane Square,0.07317420974551143,0.8992068785831241,Wandsworth Road,0.022246782216992337,0.9466024635900083
London Bridge,0.06573771191657539,0.9014406619706209,Bethnal Green,0.02119420837077764,0.949870539206286
Preston Road,0.06571277426071505,0.9003948342490935,North Ealing,0.02062215910004127,0.9510069496410314
Acton Town,0.061777276239274835,0.9008152737221389,Camden Town,0.020068319426486434,0.9542078470079668
Canada Water,0.04597770550552068,0.903964906623917,Hammersmith,0.01936150331380998,0.9540054095953363
Leyton,0.045851612009103,0.9031883364065575,Woodford,0.018819554614130637,0.9543597195530711
Barons Court,0.045826674353242655,0.9031605842318192,Canary Wharf,0.018333344959280094,0.9558103462744084
Westminster,0.04501508542057002,0.9067924871609572,Barking,0.017787821488569614,0.9560311431604648
Willesden Junction,0.039126242297807604,0.9130283704567765,South Kensington,0.017214115061995366,0.961447087951154
Northwick Park,0.039126242297807604,0.9130283704567765,Wembley Park,0.016629416095126838,0.9611608853830276
Leytonstone,0.03891352906202694,0.91256262423254,Brockley,0.01627182674626568,0.9613627700830856
Finchley Road,0.038876122578236416,0.9124674740731051,Gants Hill,0.01597353207889372,0.9615934819130428
Poplar,0.03745728412136705,0.9133240774362107,Rayners Lane,0.015620297200721191,0.9614637564001939
St. James's Park,0.03745728412136705,0.9133240774362107,North Acton,0.01524667767809918,0.9614395473443006
Holborn,0.03649102712298762,0.9123320497535977,Moor Park,0.014872315963338465,0.9612807740060842
Euston Square,0.03646608946712727,0.9106786264099832,Harrow & Wealdstone,0.01459945464621281,0.9612454980354811
Gospel Oak,0.0352536967853875,0.9106032340615577,Hackney Downs,0.014243667526709986,0.9610453465619594
Great Portland Street,0.0352536967853875,0.9106032340615577,Turnpike Lane,0.013991252028658585,0.9609414236862924
West Ham,0.030810280257345543,0.9163219240315194,Finchley Central,0.01368519178244871,0.9613307562818763
Seven Sisters,0.02935009205209042,0.9166964151185947,Edmonton Green,0.013373233582709962,0.9611099094696631
Dalston Kingsland,0.029304373016346412,0.916362050156702,Gospel Oak,0.01306127538297121,0.9609204693174085
Paddington,0.02601590812879451,0.9196616928646082,Hounslow Central,0.012817945216324343,0.9609373700217816
Canning Town,0.024651440000160132,0.9228730222086772,Parsons Green,0.01257461504967747,0.9617951749120884
Moorgate,0.02454129868677693,0.921679522416247,Elephant & Castle,0.012267050627399821,0.9633614759028801
