Station,betweenness_centrality,closeness_centrality,infomation_centrality
Bank and Monument,0.221503759,7.74E-05,0.706970934
King's Cross St. Pancras,0.209674185,7.90E-05,0.693375715
Stratford,0.182493734,6.32E-05,0.693924134
Baker Street,0.16424812,7.63E-05,0.682667767
Oxford Circus,0.157305764,7.87E-05,0.678048591
Euston,0.155137845,7.72E-05,0.64567972
Earl's Court,0.143521303,6.66E-05,0.629546843
Shadwell,0.139448622,7.24E-05,0.670797758
Waterloo,0.130213033,7.68E-05,0.690971584
South Kensington,0.129110276,6.98E-05,0.592709895
Gloucester Road,0.127243108,6.83E-05,0.604090901
Highbury & Islington,0.123320802,7.41E-05,0.677469576
Victoria,0.11575188,7.43E-05,0.638503919
Wembley Park,0.113170426,4.85E-05,0.648872908
Hammersmith,0.108446115,6.01E-05,0.571033
West Hampstead,0.107969925,6.55E-05,0.603789493
Turnham Green,0.107606516,5.61E-05,0.573388677
Liverpool Street,0.106152882,7.69E-05,0.694687689
Limehouse,0.100714286,6.82E-05,0.58701019
Canonbury,0.100426065,7.22E-05,0.604315177
Whitechapel,0.099862155,7.35E-05,0.644292215
Westferry,0.098308271,6.60E-05,0.551793622
Mile End,0.097869674,6.85E-05,0.669621885
Camden Town,0.096478697,7.05E-05,0.5688192
Finsbury Park,0.096378446,6.73E-05,0.645313049
Harrow-on-the-Hill,0.094473684,4.18E-05,0.495248456
Sloane Square,0.094423559,7.11E-05,0.589211826
London Bridge,0.092142857,7.56E-05,0.641562271
Preston Road,0.091616541,4.60E-05,0.575548017
Acton Town,0.091528822,5.14E-05,0.556313593
Canada Water,0.090977444,6.82E-05,0.6301026
Leyton,0.090714286,5.63E-05,0.620941841
Barons Court,0.090413534,6.22E-05,0.589321072
Westminster,0.089323308,7.60E-05,0.665093204
Willesden Junction,0.088822055,5.91E-05,0.637675843
Northwick Park,0.087869674,4.35E-05,0.533800637
Leytonstone,0.086541353,5.19E-05,0.546859461
Finchley Road,0.086140351,6.57E-05,0.663674745
Poplar,0.085902256,6.46E-05,0.526628759
St. James's Park,0.084761905,7.42E-05,0.567132707
Holborn,0.084210526,7.92E-05,0.611300373
Euston Square,0.081466165,7.67E-05,0.60234847
Gospel Oak,0.081428571,6.37E-05,0.545349483
Great Portland Street,0.080614035,7.62E-05,0.587858153
West Ham,0.080012531,6.20E-05,0.662158763
Seven Sisters,0.079724311,5.83E-05,0.628190725
Dalston Kingsland,0.078533835,6.86E-05,0.557894413
Paddington,0.078333333,7.10E-05,0.588638137
Canning Town,0.077719298,6.03E-05,0.638148618
Moorgate,0.076679198,7.71E-05,0.643381046
Stepney Green,0.076441103,7.08E-05,0.608421571
Hackney Central,0.075827068,6.57E-05,0.546044151
Edgware Road,0.074598997,7.33E-05,0.611875761
Finchley Road & Frognal,0.074398496,6.44E-05,0.529305829
Homerton,0.073822055,6.38E-05,0.567185151
Hampstead Heath,0.073609023,6.33E-05,0.524410422
Hackney Wick,0.072719298,6.27E-05,0.61647585
Surrey Quays,0.072042607,6.59E-05,0.512123869
