station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.525096864179
Abbey Road,Beckton,1,599,442,8510.121773987867
Abbey Road,Blackwall,3,599,665,3775.4488720764384
Abbey Road,Canary Wharf,1,599,58772,5086.51421966348
Abbey Road,Canning Town,37,599,15428,2228.9231673286404
Abbey Road,Crossharbour,1,599,1208,6686.4755599471555
Abbey Road,Custom House,0,599,845,3824.855629892705
Abbey Road,Cutty Sark,2,599,1748,8503.898908948277
Abbey Road,Cyprus,7,599,850,6532.0996175362725
Abbey Road,Devons Road,1,599,611,3958.324170837429
Abbey Road,East India,2,599,1522,3384.1416664743892
Abbey Road,Island Gardens,2,599,691,7706.29637037365
Abbey Road,King George V,5,599,800,6806.02103911586
Abbey Road,Langdon Park,8,599,1989,4810.672967127671
Abbey Road,Lewisham,0,599,2400,11213.451493921828
Abbey Road,Limehouse,2,599,2969,6154.537881349283
Abbey Road,London City Airport,4,599,1941,5777.444147788598
Abbey Road,Pontoon Dock,8,599,1123,4636.094118126452
Abbey Road,Poplar,0,599,1301,4498.407429528339
Abbey Road,Prince Regent,1,599,754,4349.34250870143
Abbey Road,Royal Albert,4,599,684,5237.762991179859
Abbey Road,Shadwell,1,599,7447,6583.570466258241
Abbey Road,South Quay,7,599,4591,6089.728056124616
Abbey Road,Star Lane,7,599,1052,1397.494084997123
Abbey Road,Stratford,285,599,55954,1174.5113748307526
Abbey Road,Stratford High Street,10,599,788,655.2113012868274
Abbey Road,Stratford International,33,599,1546,2495.57949194463
Abbey Road,West Ham,130,599,5487,533.8424216951112
Abbey Road,West Silvertown,2,599,893,3880.0482282539315
Abbey Road,Westferry,3,599,1250,5180.920874269293
Abbey Road,Woolwich Arsenal,32,599,4428,9235.296782445403
Acton Central,Barking,0,1224,7004,28856.336866213773
Acton Central,Blackhorse Road,0,1224,2955,19050.020494428158
Acton Central,Brondesbury,76,1224,712,6439.433521447575
Acton Central,Brondesbury Park,31,1224,895,5697.244849605362
Acton Central,Bushey,0,1224,456,20277.67372034067
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.39869733137
Acton Central,Camden Road,52,1224,3784,12267.820406844125
Acton Central,Canada Water,0,1224,20443,19290.442030284492
Acton Central,Canonbury,3,1224,846,15827.108490468669
Acton Central,Carpenders Park,0,1224,340,18314.695254808925
Acton Central,Crouch Hill,2,1224,404,13393.537677887845
Acton Central,Dalston Kingsland,5,1224,2091,17008.286831421694
Acton Central,Denmark Hill,0,1224,2612,19358.214182798318
Acton Central,Edmonton Green,0,1224,783,24977.431563699996
Acton Central,Euston,17,1224,16800,11674.643891539987
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.32228644004
Acton Central,Gospel Oak,18,1224,2025,10278.416034958387
Acton Central,Gunnersbury,102,1224,4775,2169.366650028678
Acton Central,Hackney Central,10,1224,2440,18298.043075419635
Acton Central,Hackney Wick,5,1224,1263,20677.009005592357
Acton Central,Haggerston,2,1224,1184,17998.985432125657
Acton Central,Hampstead Heath,59,1224,2792,9339.855433987981
Acton Central,Harlesden,0,1224,1668,4209.69881298641
Acton Central,Harringay Green Lanes,3,1224,544,14900.11547783333
Acton Central,Harrow & Wealdstone,3,1224,1335,12874.288896354628
Acton Central,Hatch End,0,1224,93,15871.352957892337
Acton Central,Headstone Lane,4,1224,310,14725.20311606929
Acton Central,Highams Park,0,1224,390,24555.919547082314
Acton Central,Highbury & Islington,49,1224,25385,14845.998722368859
Acton Central,Homerton,3,1224,1998,19333.658622531602
Acton Central,Hoxton,4,1224,2181,18833.564070089178
Acton Central,Kensal Green,0,1224,472,4417.7145087237695
Acton Central,Kensal Rise,39,1224,1376,4694.709416034485
Acton Central,Kentish Town West,54,1224,1128,11369.5754622468
Acton Central,Kenton,2,1224,768,11093.616900473273
Acton Central,Kew Gardens,18,1224,792,3949.647568979359
Acton Central,Kilburn High Road,0,1224,266,6866.843318868614
Acton Central,Leyton Midland Road,0,1224,445,22254.741580384256
Acton Central,Leytonstone High Road,0,1224,314,23468.838587292903
Acton Central,New Cross,1,1224,1027,22156.955782323654
Acton Central,New Cross Gate,0,1224,1340,21921.726846117388
Acton Central,North Wembley,0,1224,365,8770.90249910269
Acton Central,Queen's Park,0,1224,2167,5802.340169793317
Acton Central,Richmond,318,1224,5397,6117.810833059131
Acton Central,Shadwell,0,1224,7447,18658.141237984037
Acton Central,Shoreditch High Street,4,1224,7558,19123.319244376893
Acton Central,South Acton,7,1224,975,1152.5272704403333
Acton Central,South Hampstead,3,1224,236,7843.19870734115
Acton Central,South Kenton,0,1224,261,9706.647669189502
Acton Central,South Tottenham,0,1224,552,16758.88057366243
Acton Central,Stonebridge Park,0,1224,729,5704.647589653347
Acton Central,Stratford,11,1224,55954,22249.93228494217
Acton Central,Surrey Quays,0,1224,1005,19839.958261243944
Acton Central,Upper Holloway,4,1224,898,12178.641337321837
Acton Central,Watford High Street,3,1224,790,21591.923984567835
Acton Central,Watford Junction,5,1224,1367,22997.961516147465
Acton Central,Wembley Central,1,1224,1327,7422.746056622242
Acton Central,West Hampstead,141,1224,5856,7288.664756828612
Acton Central,White Hart Lane,0,1224,641,22579.055528522033
Acton Central,Whitechapel,1,1224,17633,17927.497796911306
Acton Central,Willesden Junction,90,1224,4165,3065.4656213528933
Acton Central,Woodgrange Park,0,1224,242,26708.916687359266
Acton Town,Aldgate,3,3745,7782,16944.051816323186
Acton Town,Aldgate East,17,3745,7932,17186.099003610165
Acton Town,Alperton,35,3745,741,4973.087943535799
Acton Town,Amersham,0,3745,256,37455.59219237167
Acton Town,Angel,11,3745,8103,15763.972657848988
Acton Town,Archway,1,3745,2193,18217.62568831363
Acton Town,Arnos Grove,1,3745,748,25901.392590462776
Acton Town,Arsenal,0,3745,315,17900.360881382563
Acton Town,Baker Street,19,3745,14973,12097.39559385703
Acton Town,Balham,0,3745,3814,18527.8394869321
Acton Town,Bank and Monument,66,3745,78549,15507.13457594495
Acton Town,Barbican,9,3745,9134,16902.562318417833
Acton Town,Barking,1,3745,7004,29078.27214171831
Acton Town,Barkingside,0,3745,262,34636.17642834955
Acton Town,Barons Court,84,3745,2956,5270.5310260210945
Acton Town,Bayswater,3,3745,615,9786.882978659174
Acton Town,Becontree,0,3745,456,32372.72452741542
Acton Town,Belsize Park,0,3745,2255,17213.401011995516
Acton Town,Bermondsey,6,3745,3172,16806.78268513017
