Station,betweenness centrality,closeness_centrality,infomation_centrality
Uxbridge,0.0,2.9317345713196342e-05,0.24224948224546267
Hillingdon,0.005,3.127887631262038e-05,0.25368412641375426
Ickenham,0.009974937343358397,3.241022466781989e-05,0.27864137813842943
Ruislip,0.014924812030075188,3.4374746700684425e-05,0.29694425603872054
Ruislip Manor,0.019849624060150377,3.5181385002543945e-05,0.3585846374076947
Eastcote,0.024749373433583962,3.6598874282277546e-05,0.4095738493275481
Rayners Lane,0.04536340852130326,3.9132879634307936e-05,0.44888428323742896
West Harrow,0.04279448621553885,4.045784591547588e-05,0.4654550927225856
Aldgate,0.0003884711779448622,7.337679268590926e-05,0.5723043711842547
Liverpool Street,0.10615288220551379,7.685181168268539e-05,0.6946876888743475
Baker Street,0.1642481203007519,7.634822635769342e-05,0.6826677665332459
Great Portland Street,0.0806140350877193,7.619485880064808e-05,0.5878581525483076
Euston Square,0.08146616541353384,7.672228185794039e-05,0.6023484697557061
King's Cross St. Pancras,0.20967418546365915,7.900648346011117e-05,0.6933757152542145
Farringdon,0.07130325814536341,7.647432271156744e-05,0.6235988478775867
Barbican,0.07100250626566416,7.620991883032343e-05,0.5532513284266954
Moorgate,0.07667919799498747,7.713443099795333e-05,0.6433810460094217
Harrow-on-the-Hill,0.09447368421052632,4.18367166085384e-05,0.4952484560805355
Amersham,0.0,2.1471817857419594e-05,0.2851556465485272
Chalfont & Latimer,0.009987468671679198,2.315057407445293e-05,0.2950716863143296
Chorleywood,0.014924812030075188,2.5172095635305985e-05,0.3051978747274962
Rickmansworth,0.019849624060150377,2.7595864599798856e-05,0.3158658359379216
Moor Park,0.03459899749373434,3.0379846111560022e-05,0.32778222874468155
Northwood,0.03929824561403509,3.248701825840795e-05,0.3475549167373104
Northwood Hills,0.04409774436090226,3.417364241380421e-05,0.37938389452242155
Pinner,0.048872180451127824,3.675626503784666e-05,0.4066115505782388
North Harrow,0.05362155388471178,3.8807504394475754e-05,0.45256402682193886
Northwick Park,0.08786967418546367,4.345151290932648e-05,0.5338006370107696
Preston Road,0.09161654135338346,4.598344971849839e-05,0.5755480169408962
Wembley Park,0.11317042606516291,4.845011548881891e-05,0.6488729078030432
Croxley,0.005,2.7929197418425144e-05,0.31375227384236093
Watford,0.0,2.6416949114129513e-05,0.2957348303713338
Chesham,0.0,2.020382899991354e-05,0.28967194863444823
Finchley Road,0.08614035087719299,6.566370086462679e-05,0.6636747445579665
Stratford,0.1824937343358396,6.318005984026312e-05,0.6939241340268048
Stratford High Street,0.0015037593984962407,6.156335912687426e-05,0.5209398277644516
Abbey Road,0.0006641604010025063,6.098587958188973e-05,0.5171004773070076
West Ham,0.0800125313283208,6.19851764145336e-05,0.6621587632431337
Star Lane,0.0,5.985490249380881e-05,0.5783668545825323
Canning Town,0.07771929824561404,6.0309169066532626e-05,0.6381486177383275
Royal Victoria,0.034473684210526316,5.703306333819325e-05,0.5112238114935491
Bank and Monument,0.22150375939849626,7.737673084721471e-05,0.7069709337897861
Shadwell,0.1394486215538847,7.237065721811623e-05,0.6707977578812377
Limehouse,0.10071428571428571,6.82379065497715e-05,0.5870101902146536
Westferry,0.09830827067669173,6.600608102406419e-05,0.5517936220630106
West India Quay,0.05304511278195489,6.482486855478715e-05,0.5142336072495481
Canary Wharf,0.0637593984962406,6.409649975828668e-05,0.6255475396315362
Heron Quays,0.04409774436090226,6.274966744032712e-05,0.3728098982668684
South Quay,0.03929824561403509,6.0385470844942806e-05,0.30580204882770295
Crossharbour,0.034473684210526316,5.8361325226644524e-05,0.2554106213294838
Mudchute,0.02962406015037594,5.6863941306836636e-05,0.21074383484369735
Island Gardens,0.024749373433583962,5.517524888114463e-05,0.18355497734123877
Cutty Sark,0.019849624060150377,5.2899657526068806e-05,0.16840162079199927
Greenwich,0.014924812030075188,5.121307956659364e-05,0.15247587290137457
Deptford Bridge,0.009974937343358397,4.9257911953065004e-05,0.14160912800307482
Elverson Road,0.005,4.7566168738207365e-05,0.1314509519969015
Lewisham,0.0,4.6327436681041396e-05,0.12025852017426585
Tower Gateway,0.0,6.626096745252519e-05,0.5545865830471782
Poplar,0.08590225563909774,6.464218700003051e-05,0.526628759485377
All Saints,0.0181203007518797,6.228559055314906e-05,0.4604375830448128
Blackwall,0.06200501253132833,6.274736415369976e-05,0.4841723292635989
East India,0.05962406015037594,6.202578513418976e-05,0.550815595690953
Custom House,0.02962406015037594,5.5186641259363484e-05,0.38545425397811317
Prince Regent,0.024749373433583962,5.3675737505561236e-05,0.29975858589329013
Royal Albert,0.019849624060150377,5.1285149453117065e-05,0.2648217402516341
Beckton Park,0.014924812030075188,4.96194435775512e-05,0.22904186560344303
Cyprus,0.009974937343358397,4.8137902529717076e-05,0.20020492437367335
Gallions Reach,0.005,4.649031348226305e-05,0.18082891258944409
Beckton,0.0,4.396955909692429e-05,0.17085717272795348
Langdon Park,0.014837092731829574,6.111183419733089e-05,0.43176434919678564
Devons Road,0.01243107769423559,5.973320453683092e-05,0.44363679079998586
Bow Church,0.010764411027568923,5.9097334405864016e-05,0.4999484788530605
Pudding Mill Lane,0.012092731829573935,5.974078149665135e-05,0.5752531875975645
Stratford International,0.0,5.832419959773024e-05,0.5736877263192878
Woolwich Arsenal,0.0,4.253670319897445e-05,0.31056328638396813
King George V,0.005,4.7424985339029924e-05,0.32725645998515623
West Silvertown,0.019849624060150377,5.495961017571269e-05,0.5543715247285401
Pontoon Dock,0.014924812030075188,5.28038920449573e-05,0.43035701196952425
London City Airport,0.009974937343358397,4.9837853607744064e-05,0.374568718329907
Aldgate East,0.055977443609022556,7.497652025161148e-05,0.6350988502052621
Whitechapel,0.09986215538847118,7.352851355114435e-05,0.6442922146617799
Stepney Green,0.07644110275689224,7.077998768444583e-05,0.6084215705349383
Mile End,0.09786967418546366,6.85090090661047e-05,0.6696218847528553
Bow Road,0.04942355889724311,6.622549607180294e-05,0.560065972973754
Bromley-by-Bow,0.0462406015037594,6.377883788344046e-05,0.5830840175911111
Plaistow,0.049448621553884714,5.887190874600859e-05,0.5613375981659788
Upton Park,0.044874686716791984,5.4997851682391355e-05,0.5274345965984102
East Ham,0.04040100250626567,5.172433874590997e-05,0.5133673791775529
Barking,0.04488721804511278,4.7145585569793734e-05,0.5130218998267987
Edgware Road,0.07459899749373435,7.32959819660191e-05,0.6118757614578755
Hammersmith,0.10844611528822055,6.007120380723962e-05,0.5710329995137774
Goldhawk Road,0.023959899749373435,5.845545777377323e-05,0.48827125127174587
Shepherd's Bush Market,0.02423558897243108,5.849966122360523e-05,0.3968857359679907
Wood Lane,0.025751879699248123,5.9102450354856595e-05,0.3716645252959628
Latimer Road,0.028395989974937346,6.014472103677428e-05,0.3751283022846799
