mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
504,523,8.033,16.43,24.563,28.555,13.023,2.263,DLR
504,533,30.719,40.105,61.571,57.881,15.573,0.317,DLR
504,538,5.941,17.238,37.493,43.158,33.89,10.429,DLR
504,559,5.795,26.397,27.285,24.065,15.213,8.508,DLR
504,573,77.786,113.75,143.938,387.562,165.776,65.283,DLR
504,719,148.816,1461.291,650.283,635.245,181.595,71.794,DLR
504,749,3.082,26.223999,45.376,40.726,20.615,12.091,DLR
504,750,3.76,11.909,41.027,31.429,28.607,6.496,DLR
504,757,45.37,296.99,202.707,284.911,99.29,28.636,DLR
504,842,6.6619997,57.203,10.044,9.017,1.035,0.752,DLR
504,850,1.235,0.324,3.199,5.848,2.312,0.607,DLR
504,851,2.014,2.381,3.042,3.811,2.323,1.357,DLR
504,853,0.0,6.381,4.177,4.711,1.903,0.99899995,DLR
504,854,1.5630001,1.317,1.6850001,3.72,1.057,0.233,DLR
504,855,1.216,7.603,1.348,0.0,0.0,0.0,DLR
504,857,0.0,0.0,2.738,0.832,0.749,1.086,DLR
504,858,0.0,5.024,5.94,5.498,0.0,0.0,DLR
504,859,0.162,0.0,2.08,1.128,0.836,0.0,DLR
504,860,2.281,2.814,3.7,5.943,1.296,1.073,DLR
504,861,2.061,9.311,7.113,3.528,0.547,0.25,DLR
504,862,1.309,8.142,5.332,6.403,2.628,1.564,DLR
504,864,2.78,3.113,2.286,2.416,1.708,0.0,DLR
504,865,1.163,1.215,4.193,3.369,0.527,2.187,DLR
504,866,0.90999997,4.582,3.8270001,2.482,1.091,1.634,DLR
504,867,0.25300002,3.973,1.683,2.342,1.969,1.128,DLR
504,879,0.0,4.706,8.62,2.993,0.829,0.0,DLR
504,882,0.0,1.98,5.59,2.926,1.845,0.982,DLR
504,883,0.39,16.899,5.1549997,6.408,2.548,1.511,DLR
504,884,7.0160003,86.329,51.037,59.317,32.651,13.833,DLR
504,886,1.853,3.779,9.269,6.622,4.975,1.29,DLR
504,887,0.502,6.019,4.881,3.983,7.245,0.668,DLR
504,888,0.629,3.826,5.291,6.512,2.875,0.0,DLR
504,889,24.283,31.025,30.727,39.202,9.93,6.593,DLR
504,890,1.519,4.587,3.511,5.422,2.629,0.771,DLR
504,891,0.987,1.79,4.665,5.3659997,0.0,1.848,DLR
504,893,0.0,9.529,11.667,3.9,12.17,1.248,DLR
504,894,0.587,4.149,2.265,2.177,5.2209997,0.0,DLR
504,895,1.643,1.572,7.616,8.512,3.543,1.191,DLR
504,897,0.0,0.683,4.08,4.311,0.7,0.329,DLR
504,928,0.0,0.688,0.716,0.692,0.518,0.0,DLR
504,940,0.894,4.876,10.595,29.251,1.722,0.2,DLR
513,504,0.0,0.0,0.0,0.0,0.0,0.083000004,DLR
513,523,26.266,67.873,50.866,196.33,65.077,32.069,DLR
513,533,119.031,393.244,556.175,912.611,82.144,17.876,DLR
513,538,22.19,135.77,94.427,460.594,232.403,75.325,DLR
