mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
560,3000,0.0,0.002,10.386,22.636,31.822,21.074,2.106,0.0,EZL
560,3087,0.0,138.55,1038.581,663.018,425.935,151.498,54.035,0.0,EZL
560,3186,0.0,29.427,258.398,121.17,353.773,173.351,67.166,0.0,EZL
560,3187,0.0,5.54,141.025,174.742,256.4,214.509,48.781002,0.0,EZL
560,3188,0.0,4.554,31.97,65.944,134.11,76.877,17.673,0.0,EZL
560,3191,0.0,0.223,6.601,22.423,108.832,48.406,9.188,0.0,EZL
560,7090,0.056,38.298,61.536,46.348,41.68,7.609,0.756,0.0,EZL
560,7091,19.796,199.619,41.988,53.71,47.111,16.624,1.985,0.0,EZL
719,6872,0.0,11.201,104.036,161.689,461.147,283.296,78.506,0.83,EZL
719,6874,0.0,52.374,291.738,584.257,1824.064,864.226,259.245,1.845,EZL
719,6876,0.0,51.889,400.504,718.33,1443.667,831.848,328.678,2.298,EZL
719,6877,0.0,15.297,110.331,288.104,859.007,499.34702,143.618,0.21100001,EZL
719,6878,0.0,54.227,380.762,615.393,1579.379,885.313,232.468,1.163,EZL
719,6879,0.0,56.553,163.65,311.209,949.349,496.612,136.189,0.687,EZL
719,6881,0.0,122.419,901.36,1662.424,3419.288,1635.577,468.533,3.1660001,EZL
719,6883,0.0,61.303,185.219,444.444,934.481,509.426,184.572,1.82,EZL
719,6886,0.0,111.85,843.729,662.159,2182.782,905.193,282.381,2.461,EZL
719,6888,0.0,0.051,0.0,0.082,0.0,0.051999997,11.931,0.311,EZL
719,6893,0.0,27.767,275.242,412.647,1507.205,779.55597,247.145,3.522,EZL
719,6965,0.0,611.875,6440.745,667.299,528.6,131.17,95.292,0.0,EZL
719,6970,0.0,69.061,115.854,195.956,322.814,232.38,118.746,0.544,EZL
3000,560,0.0,2.628,35.935,39.511,16.33,3.009,0.204,0.0,EZL
3000,3087,0.0,12.362,319.07,116.027,59.41,17.422,4.091,0.0,EZL
3000,3186,0.0,2.374,13.809,5.363,11.062,4.281,0.374,0.0,EZL
3000,3187,0.0,1.564,16.928,6.98,7.857,2.868,0.908,0.0,EZL
3000,3188,0.0,1.275,5.481,4.649,6.345,1.813,0.179,0.0,EZL
3087,560,0.033,9.634,232.189,427.72,657.215,375.81302,138.155,0.0,EZL
3087,3000,0.0,0.344,29.653,77.12,218.519,98.559,15.072,0.0,EZL
3087,3186,2.4450002,13.017,299.321,208.256,529.474,325.886,104.791,0.0,EZL
3087,3187,0.176,7.025,193.791,322.442,388.82,391.648,78.019,0.0,EZL
3087,3188,0.0,12.858,127.715,235.547,547.796,361.303,92.068,0.0,EZL
3087,3191,0.0,1.368,42.089,102.701,496.864,317.727,43.099,0.0,EZL
3087,7090,2.3270001,80.479004,97.739,174.803,177.618,23.812,2.881,0.0,EZL
3087,7091,5.7780004,132.91899,217.482,264.686,322.862,159.861,37.913,0.0,EZL
3186,560,0.0,92.452,459.007,192.853,225.319,48.543,14.809,0.0,EZL
3186,3000,0.0,0.96400005,12.133,5.837,8.606,2.921,0.2,0.0,EZL
3186,3087,0.0,160.609,513.178,329.772,276.523,54.608,23.543001,0.0,EZL
3186,3187,0.0,1.011,20.563,28.341,18.857,14.351,2.051,0.0,EZL
3186,3188,0.0,7.43,26.654,16.566,35.241,14.344,1.385,0.0,EZL
3186,3191,0.0,0.191,11.332,7.657,20.178,7.532,1.043,0.0,EZL
3186,7090,0.02,4.161,12.366,10.674,8.474,0.429,1.353,0.0,EZL
3186,7091,0.065000005,75.505,18.169,27.681,10.283,7.35,7.649,0.0,EZL
3187,560,0.0,98.744,419.881,360.348,241.793,63.306,11.801,0.0,EZL
3187,3000,0.0,1.359,9.000999,6.9040003,8.124,0.888,0.073,0.0,EZL
3187,3087,0.0,133.034,417.275,513.868,234.784,86.487,22.548,0.0,EZL
3187,3186,0.207,1.959,18.515,29.495,19.228,18.848,1.292,0.0,EZL
3187,3188,0.0,1.79,19.185999,10.871,12.343,5.636,0.555,0.0,EZL
3187,3191,0.0,0.121,7.551,2.31,6.537,2.853,0.658,0.0,EZL
3187,7090,0.035,4.2530003,4.096,14.21,5.787,1.1439999,0.001,0.0,EZL
3187,7091,2.943,110.849,7.676,25.233,8.048,11.4279995,0.085999995,0.0,EZL
3188,560,0.0,57.347,279.74,110.097,62.333,15.269,3.224,0.0,EZL
3188,3000,0.0,1.778,10.844,3.5939999,3.339,1.034,0.41799998,0.0,EZL
3188,3087,0.0,143.317,807.189,274.171,153.285,34.374,9.224,0.0,EZL
3188,3186,0.0,5.196,68.387,13.809,17.864,13.852,2.803,0.0,EZL
3188,3187,0.0,1.126,24.68,7.899,9.322,3.814,0.851,0.0,EZL
3188,3191,0.0,0.0,0.347,0.883,2.595,0.613,0.219,0.0,EZL
3188,7090,0.0,3.028,6.481,12.082,7.171,1.0780001,0.003,0.0,EZL
3188,7091,0.0,10.723001,6.057,10.792,6.728,2.7559998,0.148,0.0,EZL
3191,560,0.0,8.456,129.87,51.924,38.315,8.919,5.0220003,0.0,EZL
3191,3087,0.0,47.241,436.603,159.995,144.629,25.081,4.778,0.0,EZL
3191,3186,0.0,2.063,21.897,8.338,13.554,4.5680003,0.08,0.0,EZL
3191,3187,0.0,0.151,4.5360003,5.619,2.376,1.198,0.285,0.0,EZL
3191,3188,0.0,0.102,1.416,1.412,1.059,0.631,0.0,0.0,EZL
3191,7090,0.0,2.3720002,5.01,12.434,9.255,1.919,0.006,0.0,EZL
3191,7091,0.0,3.268,5.868,12.93,10.028,4.525,0.001,0.0,EZL
6872,719,8.489,278.379,850.564,213.484,150.511,24.746,4.982,0.0,EZL
6872,6874,0.0,2.694,14.738,75.319,30.467001,8.831,1.018,0.0,EZL
6872,6876,0.039,1.4380001,10.632,4.27,5.532,2.119,0.186,0.0,EZL
6872,6877,0.0,0.714,17.165,37.648,30.372,7.205,1.171,0.0,EZL
6872,6878,0.001,0.50699997,8.15,22.161,13.314,4.197,0.873,0.0,EZL
