mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
514,522,137.035,331.52798,236.174,187.732,77.853,19.803,0.0,LO
514,591,0.0,0.043,0.392,0.0,0.003,0.018,0.0,LO
514,596,0.701,0.019,0.081,0.09,0.036,0.015999999,0.0,LO
514,597,0.076,0.004,0.062,0.015,0.037,0.018,0.0,LO
514,618,0.202,0.118,0.28100002,0.108,0.065,0.0,0.0,LO
514,621,0.0,0.016,0.329,0.0,0.0,0.0,0.0,LO
514,659,0.062,0.005,0.097,0.033,0.02,0.097,0.0,LO
514,717,0.622,0.007,0.118999995,0.060000002,0.008,0.0,0.0,LO
514,751,0.675,0.005,0.16600001,0.378,0.082,0.0,0.0,LO
514,766,3.3140001,1.223,1.812,1.546,0.306,0.161,0.0,LO
514,1404,0.073,0.133,1.151,0.354,0.178,0.0,0.0,LO
514,1409,20.666,50.690998,22.227,9.526,3.086,1.302,0.0,LO
514,1413,6.806,14.261,8.427,3.033,0.632,0.012,0.0,LO
514,1421,3.5279999,5.821,4.33,1.821,0.709,0.001,0.0,LO
514,1429,0.206,0.0,2.12,0.056,0.394,0.019,0.0,LO
514,1437,1.4679999,1.8100001,1.132,1.961,0.168,0.0,0.0,LO
514,1438,1.314,2.561,1.616,0.934,0.141,0.0,0.0,LO
514,1439,1.718,1.13,0.871,0.934,0.25599998,0.125,0.0,LO
514,1440,4.1340003,11.438001,3.49,1.518,1.104,0.298,0.0,LO
514,1442,0.0,0.0,0.08,0.22600001,0.055,0.002,0.0,LO
514,1445,2.617,4.86,3.184,2.4029999,0.513,0.237,0.0,LO
514,1448,0.24700001,2.132,1.58,1.62,1.029,0.262,0.0,LO
514,1449,0.465,0.64,0.293,0.284,0.063,0.013,0.0,LO
514,1452,1.25,0.138,1.508,0.499,0.004,0.0,0.0,LO
514,1455,2.13,0.0,0.081,0.0,0.0,0.0,0.0,LO
514,1524,32.532,155.985,69.2,56.907,20.432,7.6940002,0.0,LO
514,6814,0.002,0.0,0.0,0.03,0.0,0.0,0.0,LO
514,6867,0.0,0.009000001,0.060000002,0.086,0.088,0.0,0.0,LO
514,6913,0.031,0.884,0.453,0.0,0.142,0.447,0.0,LO
514,6914,0.283,2.723,2.076,3.49,0.79,0.176,0.0,LO
514,6919,1.048,3.969,4.342,3.253,1.556,0.019000001,0.0,LO
514,6926,0.43400002,2.461,3.242,1.345,0.634,0.042,0.0,LO
514,6934,0.0,0.072,0.132,0.051,0.236,0.0,0.0,LO
514,6941,1.119,1.53,0.015,2.022,0.83500004,0.22399999,0.0,LO
514,6947,6.932,1.3,0.194,1.645,0.231,0.098,0.0,LO
514,6949,0.448,0.21000001,0.105,0.873,0.247,0.407,0.0,LO
514,6952,0.296,0.20899999,0.37399998,1.199,0.219,0.004,0.0,LO
514,6954,0.39200002,2.269,1.214,1.611,0.249,0.097,0.0,LO
514,6956,1.153,0.398,0.0,2.172,0.084,0.006,0.0,LO
514,6958,0.0050000004,0.084,0.0,0.811,0.003,0.141,0.0,LO
514,6959,0.88100004,2.635,1.969,0.0,1.165,0.198,0.0,LO
514,6967,0.0,0.0,0.0,0.078,0.0,0.0,0.0,LO
514,6968,0.0,0.047000002,0.225,0.019,0.0,0.0,0.0,LO
514,6972,1.791,3.037,0.0,5.927,2.893,0.43,0.0,LO
514,6977,0.0,0.0,0.302,0.0,0.218,0.051,0.0,LO
514,6979,0.0,0.0,0.331,0.0,0.055,0.035,0.0,LO
514,7401,41.554,155.587,94.125,90.784,40.934,11.879,0.0,LO
