station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Battersea Park,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Abbey Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,285,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,599
Acton Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,31,0,0,0,0,0,0,22,0,52,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,102,10,0,5,2,0,0,0,59,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,49,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,39,0,0,54,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,1,0,90,0,0,0,0,0,0,0,0,0,1224
Acton Town,0,0,0,3,17,0,35,0,0,11,1,1,0,19,0,66,9,1,0,84,0,3,0,0,0,0,6,2,39,0,0,27,1,62,1,0,1,0,0,16,0,2,0,0,0,0,0,0,0,2,0,0,0,3,11,57,3,18,0,0,0,0,0,0,20,5,0,0,0,0,20,1,3,0,0,1,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,13,129,2,0,1,0,13,2,1,12,0,20,0,0,16,0,0,0,14,3,0,19,1,0,0,7,0,0,41,0,0,0,62,1,0,14,0,0,0,10,79,2,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,6,0,62,0,10,18,44,0,0,0,16,0,4,1,0,117,0,7,0,0,0,42,55,20,0,34,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,64,0,64,9,6,1,0,6,52,0,0,0,0,0,0,55,39,0,0,0,0,1,0,41,1,0,1,3,2,0,14,0,5,0,0,0,0,0,3,20,13,0,0,30,1,3,2,1,0,7,0,28,22,1,38,31,39,29,0,0,1,85,10,0,2,0,0,0,0,0,21,0,0,0,0,43,4,0,0,10,33,0,0,0,0,0,9,0,1,0,0,44,0,6,0,0,0,1,0,0,34,0,0,21,0,12,131,0,0,0,0,0,0,0,15,1,32,0,64,2,27,13,0,0,0,2,2,0,0,10,0,0,15,13,0,3,0,15,0,0,1,3,10,4,1,0,28,1,0,20,3,0,0,0,0,0,41,21,53,1,0,0,0,0,0,25,0,32,1,0,0,0,1,3,17,0,0,0,1,0,0,14,0,0,9,0,33,3,0,10,0,0,77,3,6,9,0,0,0,0,0,3745
Aldgate,0,0,0,0,0,0,0,0,0,17,2,0,2,167,0,5,221,0,0,0,0,1,0,0,0,1,0,0,11,2,0,13,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,1,0,4,0,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,0,0,0,2,0,25,0,1,0,0,14,0,0,0,4,353,0,677,1,30,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,228,3,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,22,0,0,0,0,1,3,2,0,0,18,0,1,1,1,19,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,351,2,1,9,0,0,0,4,1,0,0,0,0,0,0,67,2,0,0,0,2,6,0,5,5,0,3,0,0,0,112,0,0,0,1,0,0,0,1,0,0,2,0,0,0,20,2,1,0,7,0,8,0,1,15,73,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,1,0,1,7,0,2,0,0,2,3,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,15,1,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,2,0,8,0,0,0,1,14,0,0,0,4,0,0,0,2,0,0,0,0,0,29,3,5,0,0,0,0,0,0,0,2,3,2,0,0,0,40,0,0,0,0,0,9,2,0,0,0,0,6,0,14,2,0,2,5,1,0,0,4,8,0,0,0,0,0,2886
Aldgate East,0,0,2,0,0,0,0,0,0,20,4,0,0,45,2,95,45,15,0,7,0,0,0,0,0,2,0,0,165,1,0,39,7,2,0,0,16,0,0,5,0,18,0,0,0,0,1,0,0,3,0,0,0,16,0,3,5,85,0,0,0,0,0,4,9,1,0,0,0,0,4,0,3,0,0,2,1,0,0,2,0,3,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,3,0,21,1,0,14,0,9,0,0,20,0,18,0,0,131,0,0,0,13,105,0,140,4,1,0,2,0,0,9,0,0,0,20,1,4,13,0,0,0,30,46,0,0,14,0,0,0,0,0,37,2,0,1,2,0,0,0,0,0,3,0,1,4,9,4,0,0,10,0,0,1,0,50,1,3,0,0,1,0,1,1,0,2,0,0,0,0,2,0,0,0,2,0,0,1,1,0,1,0,111,0,12,5,4,2,0,3,17,0,3,0,9,0,0,47,25,0,0,0,1,0,0,80,7,0,7,22,0,0,65,2,2,0,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,7,1,7,50,67,3,7,0,0,0,61,4,0,9,0,0,0,0,0,12,1,0,0,3,5,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,2,3,0,0,58,2,0,2,0,0,79,0,0,0,0,2,3,0,3,0,1,0,117,2,4,5,0,0,0,38,4,0,0,82,0,0,0,0,0,1,0,195,0,0,2,8,45,0,0,0,25,0,0,6,0,0,0,1,0,12,0,19,31,0,0,0,0,0,0,3,1,49,0,0,0,0,1,0,11,0,0,13,4,0,0,16,0,0,5,0,100,4,0,81,0,0,24,0,0,12,0,1,0,1,0,3172
All Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,1,0,0,0,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,21,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,740
Alperton,0,0,95,0,3,0,0,0,0,4,0,0,0,2,0,7,0,0,0,32,0,0,0,0,0,0,1,0,7,1,0,1,0,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,4,1,0,0,0,0,0,0,3,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,76,84,0,0,0,0,9,14,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,9,0,0,0,16,0,2,1,0,0,0,0,22,0,0,2,0,0,0,0,0,184,0,0,0,0,0,0,0,8,0,37,0,4,6,13,0,0,0,4,0,0,0,3,12,0,2,0,0,0,18,47,21,0,14,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,15,0,30,3,1,0,0,0,9,0,0,0,0,0,0,4,7,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,55,2,0,0,20,0,1,0,1,0,0,0,4,12,0,3,4,64,5,0,0,0,16,2,0,0,0,0,0,0,0,11,0,0,0,0,9,31,0,0,0,42,0,0,0,0,0,1,0,6,0,4,8,0,0,0,0,0,1,0,0,12,0,0,6,0,39,39,0,0,0,0,0,0,0,1,1,6,0,16,0,3,14,0,0,0,1,0,0,0,2,0,0,15,5,0,0,0,0,0,0,0,2,3,1,0,0,5,0,0,14,2,0,0,0,0,0,87,6,19,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,5,0,0,0,0,2,0,9,0,0,1,0,4,0,0,1,0,0,37,1,0,0,0,0,0,0,0,1624
Amersham,0,0,2,41,0,0,0,0,0,2,2,0,0,20,0,14,41,1,0,1,0,0,0,0,0,0,2,2,2,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,54,3,2,0,0,0,0,145,0,6,10,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,32,0,97,0,20,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,30,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,1,2,1,0,0,0,1,0,0,0,0,0,0,0,57,26,0,0,0,0,0,0,2,0,0,0,0,0,10,78,0,0,0,0,0,0,0,1,0,5,1,0,0,0,4,8,8,0,1,0,3,1,0,15,6,0,0,0,0,0,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,30,0,9,4,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,27,0,0,0,0,0,0,0,0,15,8,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,1,0,27,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1190
Anerley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,643
Angel,0,0,4,29,11,0,0,0,0,0,20,0,0,69,19,591,1,2,0,19,0,1,0,0,1,39,19,3,9,4,0,13,67,3,2,0,2,3,0,16,0,1,0,0,0,0,6,0,0,4,0,0,0,74,11,96,8,1,0,0,0,0,0,20,2,16,0,0,0,0,1,0,16,0,0,6,12,0,0,34,4,23,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,18,4,12,2,0,4,0,14,24,0,94,0,0,12,0,0,1,133,2,0,14,22,3,0,4,0,0,11,0,1,0,11,39,2,24,0,0,1,32,71,1,0,5,0,0,0,0,0,55,44,0,0,0,0,0,0,7,0,1,0,0,3,7,35,0,6,20,0,1,13,0,19,3,0,0,0,0,1,0,0,0,8,0,0,0,0,14,0,0,0,36,0,0,3,1,0,0,0,95,0,23,10,6,1,0,6,22,0,0,0,1,0,0,19,436,0,0,0,0,2,0,1,11,0,2,5,14,0,192,7,11,0,2,0,0,1,2,0,17,0,0,1,1,3,1,0,0,10,0,61,1,41,131,70,2,8,0,0,0,39,25,1,3,0,0,0,0,0,3,1,0,1,2,3,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,9,0,13,0,0,6,2,0,0,16,0,0,2,0,0,45,0,0,0,0,12,1,0,0,2,30,0,14,5,4,2,0,0,0,1,13,0,0,29,0,0,0,0,0,1,0,4,0,0,10,29,19,8,2,0,22,8,0,6,6,0,0,1,0,0,8,57,189,3,0,0,0,0,0,16,0,80,1,0,0,0,7,0,3,0,1,1,0,0,0,2,0,0,9,0,25,6,0,4,0,0,1,0,3,14,0,0,0,16,0,4199
