,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,Oi1_origpop,Oi2_origsal,Dj1_destpop,Dj2_destsal,offset,Dist,unconstrainedEst1,log_Oi1_origpop,log_Dj2_destsal,log_Dist,unconstrainedEst2,fitted
1,E09000001,E09000002,6,City of London,00AA,Barking and Dagenham,00AB,6,0,3,3,0,0,0,0,0,0,0,0,12000,38300,56000,16200,0.0,15995.12628017584,121,9.392661928770137,9.692766521220475,9.680039347330624,20,20.489613953880927
2,E09000001,E09000003,14,City of London,00AA,Barnet,00AC,14,0,11,0,0,0,0,0,0,0,3,0,12000,38300,159000,18700,0.0,13935.493780907433,184,9.392661928770137,9.836278802842678,9.54219437387078,32,31.512549629303663
3,E09000001,E09000004,0,City of London,00AA,Bexley,00AD,0,0,0,0,0,0,0,0,0,0,0,0,12000,38300,112000,18300,0.0,17359.78533137938,116,9.392661928770137,9.814656338829513,9.761911622433932,22,22.318713207862462
4,E09000001,E09000005,16,City of London,00AA,Brent,00AE,16,0,10,0,3,0,0,0,0,0,3,0,12000,38300,127000,16500,0.0,13119.643266430547,183,9.392661928770137,9.711115659888671,9.481865872069775,28,27.91473871994326
5,E09000001,E09000006,0,City of London,00AA,Bromley,00AF,0,0,0,0,0,0,0,0,0,0,0,0,12000,38300,164000,19100,0.0,18740.607285235506,104,9.392661928770137,9.857443614034722,9.838447961096358,22,21.502038821769887
6,E09000001,E09000007,335,City of London,00AA,Camden,00AG,335,0,104,10,28,0,22,6,0,15,150,0,12000,38300,101000,19800,0.0,5742.755682272835,1148,9.392661928770137,9.893437216682626,8.655694458129807,121,120.6213601396661
33,E09000002,E09000001,3641,Barking and Dagenham,00AB,City of London,00AA,3641,0,1444,1788,55,0,244,27,63,9,11,0,56000,16200,12000,38300,0.0,15995.12628017584,1335,10.933106969717286,10.553205175168737,9.680039347330624,1264,1263.7810130749597
35,E09000002,E09000003,194,Barking and Dagenham,00AB,Barnet,00AC,194,0,29,28,8,0,119,6,4,0,0,0,56000,16200,159000,18700,0.0,25100.158361643887,265,10.933106969717286,9.836278802842678,10.130629434328812,206,205.72674796371592
36,E09000002,E09000004,96,Barking and Dagenham,00AB,Bexley,00AD,96,0,6,6,4,0,74,6,0,0,0,0,56000,16200,112000,18300,0.0,9264.794305451176,1902,10.933106969717286,9.814656338829513,9.133976937226508,808,807.6569023397356
37,E09000002,E09000005,178,Barking and Dagenham,00AB,Brent,00AE,178,0,47,29,3,0,90,6,0,0,3,0,56000,16200,127000,16500,0.0,27855.91102345336,190,10.933106969717286,9.711115659888671,10.234800467841946,145,144.56307402273717
38,E09000002,E09000006,66,Barking and Dagenham,00AB,Bromley,00AF,66,0,7,10,0,0,45,0,4,0,0,0,56000,16200,164000,19100,0.0,19954.175630532198,428,10.933106969717286,9.857443614034722,9.901193705205399,294,294.2524829373142
39,E09000002,E09000007,1500,Barking and Dagenham,00AB,Camden,00AG,1500,0,801,387,24,0,216,19,42,3,5,3,56000,16200,101000,19800,0.0,20157.083802277262,435,10.933106969717286,9.893437216682626,9.911311059057281,308,307.80990915293984
66,E09000003,E09000001,7709,Barnet,00AC,City of London,00AA,7709,0,4948,1779,133,16,620,59,111,25,10,8,159000,18700,12000,38300,0.0,13935.493780907433,4995,11.976659481202368,10.553205175168737,9.54219437387078,9587,9586.887976797967
67,E09000003,E09000002,96,Barnet,00AC,Barking and Dagenham,00AB,96,0,9,3,0,0,74,3,4,0,3,0,159000,18700,56000,16200,0.0,25100.158361643887,651,11.976659481202368,9.692766521220475,10.130629434328812,1015,1014.7214025534921
69,E09000003,E09000004,34,Barnet,00AC,Bexley,00AD,34,0,3,8,0,0,23,0,0,0,0,0,159000,18700,112000,18300,0.0,29923.226372351975,518,11.976659481202368,9.814656338829513,10.306390259575355,968,968.4427343344568
70,E09000003,E09000005,5467,Barnet,00AC,Brent,00AE,5467,0,290,122,869,14,3541,244,57,68,245,17,159000,18700,127000,16500,0.0,7543.160694725926,7344,11.976659481202368,9.711115659888671,8.928396563448254,5683,5683.027634282481
71,E09000003,E09000006,76,Barnet,00AC,Bromley,00AF,76,0,14,14,3,0,39,0,0,0,6,0,159000,18700,164000,19100,0.0,32661.866413023996,453,11.976659481202368,9.857443614034722,10.393963511646817,919,918.6200139679783
72,E09000003,E09000007,12080,Barnet,00AC,Camden,00AG,12080,0,5741,989,884,25,3593,287,197,180,167,17,159000,18700,101000,19800,0.0,8560.281577859016,6843,11.976659481202368,9.893437216682626,9.05488836320447,6422,6421.899645969938
99,E09000004,E09000001,6580,Bexley,00AD,City of London,00AA,6580,0,60,5697,45,6,515,54,167,20,10,6,112000,18300,12000,38300,0.0,17359.78533137938,2267,11.626254150277232,10.553205175168737,9.761911622433932,3803,3803.1491614410306
100,E09000004,E09000002,362,Bexley,00AD,Barking and Dagenham,00AB,362,0,3,11,15,0,285,16,13,0,8,11,112000,18300,56000,16200,0.0,9264.794305451176,3367,11.626254150277232,9.692766521220475,9.133976937226508,2231,2231.326205506552
101,E09000004,E09000003,132,Bexley,00AD,Barnet,00AC,132,0,3,57,6,0,60,3,3,0,0,0,112000,18300,159000,18700,0.0,29923.226372351975,373,11.626254150277232,9.836278802842678,10.306390259575355,542,542.4429168845832
103,E09000004,E09000005,144,Bexley,00AD,Brent,00AE,144,0,12,57,6,0,62,3,4,0,0,0,112000,18300,127000,16500,0.0,30474.54429965225,317,11.626254150277232,9.711115659888671,10.3246470009859,430,430.1827970083
104,E09000004,E09000006,4998,Bexley,00AD,Bromley,00AF,4998,0,13,164,645,10,3699,288,88,40,45,6,112000,18300,164000,19100,0.0,11733.551096221563,2475,11.626254150277232,9.857443614034722,9.370207632082922,2099,2098.575216800587
105,E09000004,E09000007,2470,Bexley,00AD,Camden,00AG,2470,0,66,1941,32,3,308,19,80,9,9,3,112000,18300,101000,19800,0.0,22882.653749997367,675,11.626254150277232,9.893437216682626,10.038134424344735,869,869.4983032565833
132,E09000005,E09000001,4145,Brent,00AE,City of London,00AA,4145,0,3327,372,90,3,246,16,38,37,13,3,127000,16500,12000,38300,0.0,13119.643266430547,4501,11.751942365440728,10.553205175168737,9.481865872069775,7034,7034.225426048867
133,E09000005,E09000002,40,Brent,00AE,Barking and Dagenham,00AB,40,0,10,6,0,0,24,0,0,0,0,0,127000,16500,56000,16200,0.0,27855.91102345336,422,11.751942365440728,9.692766521220475,10.234800467841946,591,590.6116904252806
