,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,vi1_origpop,vi2_origsal,wj1_destpop,wj2_destsal,offset,Dist,unconstrainedEst1,log_vi1_origpop,log_wj2_destsal,log_Dist,unconstrainedEst2,fitted,O_i,D_j,mu_i,prodsimest1,wj3_destsalScenario,prodsimest2,Ai1,A_i,prodsimest3,A_i2,prodsimest4
0,E09000001,E09000002,6,City of London,00AA,Barking and Dagenham,00AB,6,0,3,3,0,0,0,0,0,0,0,0,12000,38300,56000,16200,0.0,15995.228542407278,121,9.392661928770137,9.692766521220477,9.68004574064711,20,20.48948614987412,371,674,4.489222747261479,18.0,25000,43.0,0.48059886215098524,0.24003289192431954,18.0,0.22478466326183186,40.0
1,E09000001,E09000003,14,City of London,00AA,Barnet,00AC,14,0,11,0,0,0,0,0,0,0,3,0,12000,38300,159000,18700,0.0,13935.670950321804,184,9.392661928770137,9.836278802842678,9.542207087326863,32,31.512082616078207,371,8122,4.489222747261479,32.0,18700,32.0,0.3602260907531183,0.24003289192431954,32.0,0.22478466326183186,30.0
2,E09000001,E09000004,0,City of London,00AA,Bexley,00AD,0,0,0,0,0,0,0,0,0,0,0,0,12000,38300,112000,18300,0.0,17359.90868226907,116,9.392661928770137,9.814656338829511,9.761918727962547,22,22.318539189635946,371,3389,4.489222747261479,19.0,18300,19.0,0.21189785138758813,0.24003289192431954,19.0,0.22478466326183186,18.0
3,E09000001,E09000005,16,City of London,00AA,Brent,00AE,16,0,10,0,3,0,0,0,0,0,3,0,12000,38300,127000,16500,0.0,13119.797207727812,183,9.392661928770137,9.711115659888671,9.481877605650562,28,27.91437674644987,371,7356,4.489222747261479,28.0,16500,28.0,0.3187699419588676,0.24003289192431954,28.0,0.22478466326183186,27.0
4,E09000001,E09000006,0,City of London,00AA,Bromley,00AF,0,0,0,0,0,0,0,0,0,0,0,0,12000,38300,164000,19100,0.0,18740.82294890236,104,9.392661928770137,9.857443614034723,9.83845946885716,22,21.501729439503393,371,5266,4.489222747261479,17.0,19100,17.0,0.19521512298945218,0.24003289192431954,17.0,0.22478466326183186,16.0
5,E09000001,E09000007,335,City of London,00AA,Camden,00AG,335,0,104,10,28,0,22,6,0,15,150,0,12000,38300,101000,19800,0.0,5742.818335746803,1148,9.392661928770137,9.893437216682628,8.655705368071944,121,120.62030990630757,371,28270,4.489222747261479,257.0,19800,257.0,2.8819942151863986,0.24003289192431954,257.0,0.22478466326183186,240.0
6,E09000002,E09000001,3641,Barking and Dagenham,00AB,City of London,00AA,3641,0,1444,1788,55,0,244,27,63,9,11,0,56000,16200,12000,38300,0.0,15995.228542407278,1335,10.933106969717288,10.553205175168737,9.68004574064711,1264,1263.781820332524,5675,40725,7.7247160904139385,2602.0,38300,2602.0,1.149330987342189,0.39887397985777673,2602.0,0.39887397985777673,2602.0
7,E09000002,E09000003,194,Barking and Dagenham,00AB,Barnet,00AC,194,0,29,28,8,0,119,6,4,0,0,0,56000,16200,159000,18700,0.0,25100.413806902558,265,10.933106969717288,9.836278802842678,10.130639611314756,206,205.72566197188092,5675,8122,7.7247160904139385,222.0,18700,222.0,0.09790209335385865,0.39887397985777673,222.0,0.39887397985777673,222.0
8,E09000002,E09000004,96,Barking and Dagenham,00AB,Bexley,00AD,96,0,6,6,4,0,74,6,0,0,0,0,56000,16200,112000,18300,0.0,9264.88700157794,1902,10.933106969717288,9.814656338829511,9.133986942377186,808,807.6562030583269,5675,3389,7.7247160904139385,1926.0,18300,1926.0,0.8509198147888816,0.39887397985777673,1926.0,0.39887397985777673,1926.0
9,E09000002,E09000005,178,Barking and Dagenham,00AB,Brent,00AE,178,0,47,29,3,0,90,6,0,0,3,0,56000,16200,127000,16500,0.0,27856.17716671398,190,10.933106969717288,9.711115659888671,10.23481002207943,145,144.56240746080894,5675,7356,7.7247160904139385,136.0,16500,136.0,0.0601902356812794,0.39887397985777673,136.0,0.39887397985777673,136.0
