Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,OrigCodeNew,DestCodeNew,Oi1_origpop,Oi2_origsal,Dj1_destpop,Dj2_destsal,TotalNoIntra,offset,Dist
City of London,00AA,City of London,00AA,2059,432,120,53,50,31,39,0,3,18,1272,41,E09000001,E09000001,12000,38300,12000,38300,0,1e-10,0.0
City of London,00AA,Barking and Dagenham,00AB,6,0,3,3,0,0,0,0,0,0,0,0,E09000001,E09000002,12000,38300,56000,16200,6,0.0,15995.228542408215
City of London,00AA,Barnet,00AC,14,0,11,0,0,0,0,0,0,0,3,0,E09000001,E09000003,12000,38300,159000,18700,14,0.0,13935.670950321757
City of London,00AA,Bexley,00AD,0,0,0,0,0,0,0,0,0,0,0,0,E09000001,E09000004,12000,38300,112000,18300,0,0.0,17359.9086822708
City of London,00AA,Brent,00AE,16,0,10,0,3,0,0,0,0,0,3,0,E09000001,E09000005,12000,38300,127000,16500,16,0.0,13119.79720772819
City of London,00AA,Bromley,00AF,0,0,0,0,0,0,0,0,0,0,0,0,E09000001,E09000006,12000,38300,164000,19100,0,0.0,18740.8229489021
City of London,00AA,Camden,00AG,335,0,104,10,28,0,22,6,0,15,150,0,E09000001,E09000007,12000,38300,101000,19800,335,0.0,5742.818335746267
City of London,00AA,Croydon,00AH,3,0,0,0,3,0,0,0,0,0,0,0,E09000001,E09000008,12000,38300,153000,18300,3,0.0,17701.850874778964
City of London,00AA,Ealing,00AJ,9,0,6,3,0,0,0,0,0,0,0,0,E09000001,E09000009,12000,38300,141000,17500,9,0.0,16582.00006040765
City of London,00AA,Enfield,00AK,6,0,0,0,0,0,3,0,0,0,3,0,E09000001,E09000010,12000,38300,128000,17500,6,0.0,15197.557993374607
City of London,00AA,Greenwich,00AL,3,0,3,0,0,0,0,0,0,0,0,0,E09000001,E09000011,12000,38300,91000,18600,3,0.0,11197.200283300448
City of London,00AA,Hackney,00AM,66,0,3,0,9,0,9,0,3,4,38,0,E09000001,E09000012,12000,38300,72000,17700,66,0.0,4670.302770135505
City of London,00AA,Hammersmith and Fulham,00AN,61,0,46,0,6,0,6,0,0,3,0,0,E09000001,E09000013,12000,38300,83000,21000,61,0.0,9167.59625602163
City of London,00AA,Haringey,00AP,16,0,6,0,0,0,7,0,0,0,3,0,E09000001,E09000014,12000,38300,90000,19100,16,0.0,8514.060745977664
City of London,00AA,Harrow,00AQ,7,0,7,0,0,0,0,0,0,0,0,0,E09000001,E09000015,12000,38300,100000,19300,7,0.0,19586.100831588225
City of London,00AA,Havering,00AR,9,0,0,6,0,0,3,0,0,0,0,0,E09000001,E09000016,12000,38300,114000,17400,9,0.0,22370.148693869018
City of London,00AA,Hillingdon,00AS,10,0,4,0,3,0,3,0,0,0,0,0,E09000001,E09000017,12000,38300,113000,17600,10,0.0,24692.787812132596
City of London,00AA,Hounslow,00AT,9,0,6,3,0,0,0,0,0,0,0,0,E09000001,E09000018,12000,38300,101000,16500,9,0.0,19682.110708897224
City of London,00AA,Islington,00AU,339,0,26,3,18,0,13,0,0,7,269,3,E09000001,E09000019,12000,38300,82000,18700,339,0.0,3986.28673459847
City of London,00AA,Kensington and Chelsea,00AW,62,0,46,7,0,0,3,0,3,0,3,0,E09000001,E09000020,12000,38300,75000,25900,62,0.0,7080.2381377469865
City of London,00AA,Kingston upon Thames,00AX,0,0,0,0,0,0,0,0,0,0,0,0,E09000001,E09000021,12000,38300,77000,19500,0,0.0,19513.612652589407
City of London,00AA,Lambeth,00AY,42,0,20,0,3,0,7,0,3,0,9,0,E09000001,E09000022,12000,38300,119000,18200,42,0.0,6975.079235556705
City of London,00AA,Lewisham,00AZ,15,0,3,6,3,0,3,0,0,0,0,0,E09000001,E09000023,12000,38300,113000,18000,15,0.0,8901.877162595254
City of London,00AA,Merton,00BA,6,0,3,3,0,0,0,0,0,0,0,0,E09000001,E09000024,12000,38300,96000,18500,6,0.0,13714.247880293207
City of London,00AA,Newham,00BB,16,0,10,0,0,0,6,0,0,0,0,0,E09000001,E09000025,12000,38300,88000,15300,16,0.0,9126.736565188925
City of London,00AA,Redbridge,00BC,0,0,0,0,0,0,0,0,0,0,0,0,E09000001,E09000026,12000,38300,118000,17200,0,0.0,14108.739234791801
